Ecosystem,Survey Type,Survey Name,Entity Name,Stock,Stock Region,Assessment Year,Assessment Month,Degree of Influence
Southeast Shelf,Commercial CPUE,Commercial CPUE,Blueline tilefish - Southern Atlantic Coast | Status & ACL,Blueline tilefish , Southern Atlantic Coast | Status & ACL,2017,11,Primary
Pacific Islands Ecosystem Complex,Commercial CPUE,Commercial CPUE,Bluespine unicornfish - Guam | Asmt,Bluespine unicornfish , Guam | Asmt,2019,5,Primary
Pacific Islands Ecosystem Complex,FINSS Survey,Coral Reef Ecosystem Research,Bluespine unicornfish - Guam | Asmt,Bluespine unicornfish , Guam | Asmt,2019,5,Primary
Pacific Islands Ecosystem Complex,Commercial CPUE,Commercial CPUE,Bluespine unicornfish - Main Hawaiian Islands,Bluespine unicornfish , Main Hawaiian Islands,2017,2,Primary
Pacific Islands Ecosystem Complex,FINSS Survey,Coral Reef Ecosystem Research,Bluespine unicornfish - Main Hawaiian Islands,Bluespine unicornfish , Main Hawaiian Islands,2017,2,Primary
Pacific Islands Ecosystem Complex,Recreational CPUE,Recreational CPUE,Bluespine unicornfish - Main Hawaiian Islands,Bluespine unicornfish , Main Hawaiian Islands,2017,2,Primary
California Current,Commercial CPUE,Commercial CPUE,Bocaccio - Northern Pacific Coast,Bocaccio , Northern Pacific Coast,2010,9,Primary
California Current,Recreational CPUE,Recreational CPUE,Bocaccio - Northern Pacific Coast,Bocaccio , Northern Pacific Coast,2010,9,Primary
California Current,Commercial CPUE,Commercial CPUE,Bocaccio - Southern Pacific Coast,Bocaccio , Southern Pacific Coast,2017,6,Primary
California Current,FINSS Survey,CalCOFI_Spring,Bocaccio - Southern Pacific Coast,Bocaccio , Southern Pacific Coast,2017,6,Primary
California Current,FINSS Survey,CalCOFI_Winter,Bocaccio - Southern Pacific Coast,Bocaccio , Southern Pacific Coast,2017,6,Primary
California Current,FINSS Survey,West Coast Groundfish Bottom Trawl,Bocaccio - Southern Pacific Coast,Bocaccio , Southern Pacific Coast,2017,6,Primary
California Current,FINSS Survey,West Coast Rockfish Hook and Line,Bocaccio - Southern Pacific Coast,Bocaccio , Southern Pacific Coast,2017,6,Primary
California Current,Other Survey,"NMFS West Coast Triennial Bottom Trawl Survey, 1980-2004",Bocaccio - Southern Pacific Coast,Bocaccio , Southern Pacific Coast,2017,6,Primary
California Current,Recreational CPUE,Recreational CPUE,Bocaccio - Southern Pacific Coast,Bocaccio , Southern Pacific Coast,2017,6,Primary
California Current,FINSS Survey,Juvenile Rockfish Survey,Bocaccio - Southern Pacific Coast,Bocaccio , Southern Pacific Coast,2017,6,Secondary
California Current,Other Method,Edison Power Impingement Survey (1972-2010).,Bocaccio - Southern Pacific Coast,Bocaccio , Southern Pacific Coast,2017,6,Secondary
California Current,Recreational CPUE,Recreational CPUE,Bocaccio - Southern Pacific Coast,Bocaccio , Southern Pacific Coast,2017,6,Secondary
California Current,Commercial CPUE,Commercial CPUE,Bronzespotted rockfish - Pacific Coast,Bronzespotted rockfish , Pacific Coast,2010,9,Primary
California Current,Recreational CPUE,Recreational CPUE,Brown rockfish - Pacific Coast,Brown rockfish , Pacific Coast,2013,11,Primary
Pacific Islands Ecosystem Complex,Commercial CPUE,Commercial CPUE,Bullethead parrotfish - Main Hawaiian Islands | Asmt,Bullethead parrotfish , Main Hawaiian Islands | Asmt,2017,2,Primary
Pacific Islands Ecosystem Complex,FINSS Survey,Coral Reef Ecosystem Research,Bullethead parrotfish - Main Hawaiian Islands | Asmt,Bullethead parrotfish , Main Hawaiian Islands | Asmt,2017,2,Primary
Pacific Islands Ecosystem Complex,Recreational CPUE,Recreational CPUE,Bullethead parrotfish - Main Hawaiian Islands | Asmt,Bullethead parrotfish , Main Hawaiian Islands | Asmt,2017,2,Primary
Northeast Shelf,FINSS Survey,Bottom Trawl Survey_Fall,Butterfish - Gulf of Maine / Cape Hatteras,Butterfish , Gulf of Maine / Cape Hatteras,2022,6,Primary
Northeast Shelf,FINSS Survey,Bottom Trawl Survey_Spring,Butterfish - Gulf of Maine / Cape Hatteras,Butterfish , Gulf of Maine / Cape Hatteras,2022,6,Primary
Northeast Shelf,FINSS Survey,Northeast Area Monitoring and Assessment Program (NEAMAP)_Spring (MDMR/VIMS),Butterfish - Gulf of Maine / Cape Hatteras,Butterfish , Gulf of Maine / Cape Hatteras,2022,6,Primary
California Current,Recreational CPUE,Recreational CPUE,Cabezon - Northern California | Asmt,Cabezon , Northern California | Asmt,2019,9,Primary
California Current,Commercial CPUE,Commercial CPUE,Cabezon - Oregon,Cabezon , Oregon,2019,9,Primary
California Current,Recreational CPUE,Recreational CPUE,Cabezon - Oregon,Cabezon , Oregon,2019,9,Primary
California Current,Recreational CPUE,Recreational CPUE,Cabezon - Southern California | Asmt,Cabezon , Southern California | Asmt,2019,9,Primary
California Current,Recreational CPUE,Recreational CPUE,Cabezon - Southern Pacific Coast,Cabezon , Southern Pacific Coast,2009,9,Primary
California Current,Recreational CPUE,Recreational CPUE,Cabezon - Washington | Asmt,Cabezon , Washington | Asmt,2019,9,Primary
California Current,FINSS Survey,Juvenile Rockfish Survey,California Blue and Deacon Rockfish Complex,California Blue and Deacon Rockfish Complex, California,2019,9,Primary
California Current,Recreational CPUE,Recreational CPUE,California Blue and Deacon Rockfish Complex,California Blue and Deacon Rockfish Complex,California,2019,9,Primary
California Current,FINSS Survey,West Coast Groundfish Bottom Trawl,California scorpionfish - Southern California,California scorpionfish , Southern California,2017,9,Primary
California Current,Other Survey,California State University Northridge with Vantuna Research Group (CSUN/VRG) gillnet survey (1995-2008),California scorpionfish - Southern California,California scorpionfish , Southern California,2017,9,Primary
California Current,Other Survey,Sanitation index Publicly Owned Treatment Works (POTW) trawl survey,California scorpionfish - Southern California,California scorpionfish , Southern California,2017,9,Primary
California Current,Other Survey,Southern California Bight Regional Monitoring Project Trawl Survey,California scorpionfish - Southern California,California scorpionfish , Southern California,2017,9,Primary
California Current,Recreational CPUE,Recreational CPUE,California scorpionfish - Southern California,California scorpionfish , Southern California,2017,9,Primary
California Current,FINSS Survey,West Coast Groundfish Bottom Trawl,Canary rockfish - Pacific Coast,Canary rockfish , Pacific Coast,2021,9,Primary
California Current,Other Survey,NMFS (Conducted by AFSC for 1977-2001 and NWFSC for 2004) Triennial Shelf Bottom Trawl Survey for Pacific coast groundfish. This survey has been discontinued. This survey was separated into two indices for the early period (1980-1992) and the later period 1995-2004) based on different time periods for which the survey began.,Canary rockfish - Pacific Coast,Canary rockfish , Pacific Coast,2021,9,Primary
California Current,FINSS Survey,Juvenile Rockfish Survey,Canary rockfish - Pacific Coast,Canary rockfish , Pacific Coast,2021,9,Secondary
Caribbean Sea,Commercial CPUE,Commercial CPUE,Caribbean spiny lobster - Puerto Rico,Caribbean spiny lobster , Puerto Rico,2020,6,Primary
Southeast Shelf / Gulf of Mexico,Commercial CPUE,Commercial CPUE,Caribbean spiny lobster - Southern Atlantic Coast / Gulf of Mexico,Caribbean spiny lobster , Southern Atlantic Coast / Gulf of Mexico,2010,11,Primary
Caribbean Sea,Commercial CPUE,Commercial CPUE,Caribbean spiny lobster - St. Croix,Caribbean spiny lobster , St. Croix,2020,6,Primary
Caribbean Sea,Commercial CPUE,Commercial CPUE,Caribbean spiny lobster - St. Thomas / St. John,Caribbean spiny lobster , St. Thomas / St. John,2020,6,Primary
California Current,FINSS Survey,West Coast Groundfish Bottom Trawl,Chilipepper - Southern Pacific Coast,Chilipepper , Southern Pacific Coast,2017,9,Primary
California Current,Other Survey,NMFS (Conducted by AFSC for 1977-2001 and NWFSC for 2004) Triennial Shelf Bottom Trawl Survey for Pacific coast groundfish. This survey has been discontinued.,Chilipepper - Southern Pacific Coast,Chilipepper , Southern Pacific Coast,2017,9,Primary
California Current,Commercial CPUE,Commercial CPUE,Chilipepper - Southern Pacific Coast,Chilipepper , Southern Pacific Coast,2017,9,Secondary
California Current,FINSS Survey,Juvenile Rockfish Survey,Chilipepper - Southern Pacific Coast,Chilipepper , Southern Pacific Coast,2017,9,Secondary
California Current,Recreational CPUE,Recreational CPUE,Chilipepper - Southern Pacific Coast,Chilipepper , Southern Pacific Coast,2017,9,Secondary
California Current,Recreational CPUE,Recreational CPUE,China rockfish - Central Pacific Coast,China rockfish , Central Pacific Coast,2019,9,Primary
California Current,Recreational CPUE,Recreational CPUE,China rockfish - Northern Pacific Coast,China rockfish , Northern Pacific Coast,2019,9,Primary
California Current,Recreational CPUE,Recreational CPUE,China rockfish - Pacific Coast,China rockfish , Pacific Coast,2013,11,Primary
California Current,Recreational CPUE,Recreational CPUE,China rockfish - Southern Pacific Coast,China rockfish , Southern Pacific Coast,2019,9,Primary
California Current,Other Method,"Abundance is assessed at the stock level as mature fish in freshwater by State, Tribal, and Federal agencies (co-managers), using a variety of methods and metrics.",Chinook salmon - California Central Valley: Sacramento River Fall,Chinook salmon , California Central Valley: Sacramento River Fall,2023,2,Primary
California Current,Other Method,"Abundance is assessed at the stock level as mature fish in freshwater by State, Tribal, and Federal agencies (co-managers), using a variety of methods and metrics.",Chinook salmon - California Central Valley: Sacramento River Spring,Chinook salmon , California Central Valley: Sacramento River Spring,2023,2,Primary
California Current,Other Method,"Abundance is assessed at the stock level as mature fish in freshwater by State, Tribal, and Federal agencies (co-managers), using a variety of methods and metrics.",Chinook salmon - California Central Valley: Sacramento River Winter,Chinook salmon , California Central Valley: Sacramento River Winter,2023,2,Primary
California Current,Other Method,"Abundance is assessed at the stock level as mature fish in freshwater by State, Tribal, and Federal agencies (co-managers), using a variety of methods and metrics.",Chinook salmon - Columbia River Basin: Lower River Hatchery Fall,Chinook salmon , Columbia River Basin: Lower River Hatchery Fall,2023,2,Primary
California Current,Other Method,"Abundance is assessed at the stock level as mature fish in freshwater by State, Tribal, and Federal agencies (co-managers), using a variety of methods and metrics.",Chinook salmon - Columbia River Basin: Lower River Hatchery Spring,Chinook salmon , Columbia River Basin: Lower River Hatchery Spring,2023,2,Primary
California Current,Other Method,"Abundance is assessed at the stock level as mature fish in freshwater by State, Tribal, and Federal agencies (co-managers), using a variety of methods and metrics.",Chinook salmon - Columbia River Basin: Mid-River Bright Hatchery Fall,Chinook salmon , Columbia River Basin: Mid,2023,2,Primary
California Current,Other Method,"Abundance is assessed at the stock level as mature fish in freshwater by State, Tribal, and Federal agencies (co-managers), using a variety of methods and metrics.",Chinook salmon - Columbia River Basin: North Lewis River Fall,Chinook salmon , Columbia River Basin: North Lewis River Fall,2023,2,Primary
California Current,Other Method,"Abundance is assessed at the stock level as mature fish in freshwater by State, Tribal, and Federal agencies (co-managers), using a variety of methods and metrics.",Chinook salmon - Columbia River Basin: Snake River Fall,Chinook salmon , Columbia River Basin: Snake River Fall,2023,2,Primary
California Current,Other Method,"Abundance is assessed at the stock level as mature fish in freshwater by State, Tribal, and Federal agencies (co-managers), using a variety of methods and metrics.",Chinook salmon - Columbia River Basin: Snake River Spring/Summer,Chinook salmon , Columbia River Basin: Snake River Spring/Summer,2023,2,Primary
California Current,Other Method,"Abundance is assessed at the stock level as mature fish in freshwater by State, Tribal, and Federal agencies (co-managers), using a variety of methods and metrics.",Chinook salmon - Columbia River Basin: Spring Creek Hatchery Fall,Chinook salmon , Columbia River Basin: Spring Creek Hatchery Fall,2023,2,Primary
California Current,Other Method,"Abundance is assessed at the stock level as mature fish in freshwater by State, Tribal, and Federal agencies (co-managers), using a variety of methods and metrics.",Chinook salmon - Columbia River Basin: Upper River Bright Fall,Chinook salmon , Columbia River Basin: Upper River Bright Fall,2023,2,Primary
California Current,Other Method,"Abundance is assessed at the stock level as mature fish in freshwater by State, Tribal, and Federal agencies (co-managers), using a variety of methods and metrics.",Chinook salmon - Columbia River Basin: Upper River Spring,Chinook salmon , Columbia River Basin: Upper River Spring,2023,2,Primary
California Current,Other Method,"Abundance is assessed at the stock level as mature fish in freshwater by State, Tribal, and Federal agencies (co-managers), using a variety of methods and metrics.",Chinook salmon - Columbia River Basin: Upper River Summer,Chinook salmon , Columbia River Basin: Upper River Summer,2023,2,Primary
California Current,Other Method,"Abundance is assessed at the stock level as mature fish in freshwater by State, Tribal, and Federal agencies (co-managers), using a variety of methods and metrics.",Chinook salmon - Columbia River Basin: Upper Willamette Spring,Chinook salmon , Columbia River Basin: Upper Willamette Spring,2023,2,Primary
Alaska Ecosystem Complex,Other Method,"Abundance is assessed at the stock level as mature fish in freshwater by State, Tribal, and Federal agencies (co-managers), using a variety of methods and metrics.",Chinook salmon - Eastern North Pacific Far North Migrating,Chinook salmon , Eastern North Pacific Far North Migrating,2021,7,Primary
California Current,Other Method,"Abundance is assessed at the stock level as mature fish in freshwater by State, Tribal, and Federal agencies (co-managers), using a variety of methods and metrics.",Chinook salmon - Northern California Coast: California Coastal,Chinook salmon , Northern California Coast: California Coastal,2023,2,Primary
California Current,Other Method,"Abundance is assessed at the stock level as mature fish in freshwater by State, Tribal, and Federal agencies (co-managers), using a variety of methods and metrics.",Chinook salmon - Northern California Coast: Klamath River Fall,Chinook salmon , Northern California Coast: Klamath River Fall,2023,2,Primary
California Current,Other Method,"Spawning escapement to the Upper Klamath, Trinity, Scott, Salmon, and Shasta rivers, as well as smaller tributaries, is cooperatively estimated by a consortium of tribes, agencies, and non-governmental organizations using a variety of methods including carcass surveys, weir counts, redd surveys, and mark-recapture studies",Chinook salmon - Northern California Coast: Klamath River Spring,Chinook salmon , Northern California Coast: Klamath River Spring,2013,2,Primary
California Current,Other Method,"Abundance is assessed at the stock level as mature fish in freshwater by State, Tribal, and Federal agencies (co-managers), using a variety of methods and metrics.",Chinook salmon - Oregon Coast: Central and Northern Oregon,Chinook salmon , Oregon Coast: Central and Northern Oregon,2023,2,Primary
California Current,Other Method,"Abundance is assessed at the stock level as mature fish in freshwater by State, Tribal, and Federal agencies (co-managers), using a variety of methods and metrics.",Chinook salmon - Oregon Coast: Southern Oregon,Chinook salmon , Oregon Coast: Southern Oregon,2023,2,Primary
California Current,Other Method,"Abundance is assessed at the stock level as mature fish in freshwater by State, Tribal, and Federal agencies (co-managers), using a variety of methods and metrics.",Chinook salmon - Puget Sound: Cedar River Summer/Fall,Chinook salmon , Puget Sound: Cedar River Summer/Fall,2023,2,Primary
California Current,Other Method,"Abundance is assessed at the stock level as mature fish in freshwater by State, Tribal, and Federal agencies (co-managers), using a variety of methods and metrics.",Chinook salmon - Puget Sound: Green River Summer/Fall,Chinook salmon , Puget Sound: Green River Summer/Fall,2023,2,Primary
California Current,Other Method,"Abundance is assessed at the stock level as mature fish in freshwater by State, Tribal, and Federal agencies (co-managers), using a variety of methods and metrics.",Chinook salmon - Puget Sound: Mid Hood Canal Summer/Fall,Chinook salmon , Puget Sound: Mid Hood Canal Summer/Fall,2023,2,Primary
California Current,Other Method,"Abundance is assessed at the stock level as mature fish in freshwater by State, Tribal, and Federal agencies (co-managers), using a variety of methods and metrics.",Chinook salmon - Puget Sound: Nisqually River Summer/Fall,Chinook salmon , Puget Sound: Nisqually River Summer/Fall,2023,2,Primary
California Current,Other Method,"Abundance is assessed at the stock level as mature fish in freshwater by State, Tribal, and Federal agencies (co-managers), using a variety of methods and metrics.",Chinook salmon - Puget Sound: Nooksack Spring Early,Chinook salmon , Puget Sound: Nooksack Spring Early,2023,2,Primary
California Current,Other Method,"Abundance is assessed at the stock level as mature fish in freshwater by State, Tribal, and Federal agencies (co-managers), using a variety of methods and metrics.",Chinook salmon - Puget Sound: Puyallup Summer/Fall,Chinook salmon , Puget Sound: Puyallup Summer/Fall,2023,2,Primary
California Current,Other Method,"Abundance is assessed at the stock level as mature fish in freshwater by State, Tribal, and Federal agencies (co-managers), using a variety of methods and metrics.",Chinook salmon - Puget Sound: Skagit Spring,Chinook salmon , Puget Sound: Skagit Spring,2023,2,Primary
California Current,Other Method,"Abundance is assessed at the stock level as mature fish in freshwater by State, Tribal, and Federal agencies (co-managers), using a variety of methods and metrics.",Chinook salmon - Puget Sound: Skagit Summer/Fall,Chinook salmon , Puget Sound: Skagit Summer/Fall,2022,2,Primary
California Current,Other Method,"Abundance is assessed at the stock level as mature fish in freshwater by State, Tribal, and Federal agencies (co-managers), using a variety of methods and metrics.",Chinook salmon - Puget Sound: Snohomish Summer/Fall,Chinook salmon , Puget Sound: Snohomish Summer/Fall,2023,2,Primary
California Current,Other Method,"Abundance is assessed at the stock level as mature fish in freshwater by State, Tribal, and Federal agencies (co-managers), using a variety of methods and metrics.",Chinook salmon - Puget Sound: Stillaguamish Summer/Fall,Chinook salmon , Puget Sound: Stillaguamish Summer/Fall,2023,2,Primary
California Current,Other Method,"Abundance is assessed at the stock level as mature fish in freshwater by State, Tribal, and Federal agencies (co-managers), using a variety of methods and metrics.",Chinook salmon - Puget Sound: White River Spring,Chinook salmon , Puget Sound: White River Spring,2023,2,Primary
California Current,Other Method,"Abundance is assessed at the stock level as mature fish in freshwater by State, Tribal, and Federal agencies (co-managers), using a variety of methods and metrics.",Chinook salmon - Washington Coast: Grays Harbor Fall,Chinook salmon , Washington Coast: Grays Harbor Fall,2023,2,Primary
California Current,Other Method,"Abundance is assessed at the stock level as mature fish in freshwater by State, Tribal, and Federal agencies (co-managers), using a variety of methods and metrics.",Chinook salmon - Washington Coast: Grays Harbor Spring,Chinook salmon , Washington Coast: Grays Harbor Spring,2023,2,Primary
California Current,Other Method,"Abundance is assessed at the stock level as mature fish in freshwater by State, Tribal, and Federal agencies (co-managers), using a variety of methods and metrics.",Chinook salmon - Washington Coast: Hoh Fall,Chinook salmon , Washington Coast: Hoh Fall,2023,2,Primary
California Current,Other Method,"Abundance is assessed at the stock level as mature fish in freshwater by State, Tribal, and Federal agencies (co-managers), using a variety of methods and metrics.",Chinook salmon - Washington Coast: Hoh Spring/Summer,Chinook salmon , Washington Coast: Hoh Spring/Summer,2023,2,Primary
California Current,Other Method,"Abundance is assessed at the stock level as mature fish in freshwater by State, Tribal, and Federal agencies (co-managers), using a variety of methods and metrics.",Chinook salmon - Washington Coast: Hoko Summer/Fall,Chinook salmon , Washington Coast: Hoko Summer/Fall,2023,2,Primary
California Current,Other Method,"Abundance is assessed at the stock level as mature fish in freshwater by State, Tribal, and Federal agencies (co-managers), using a variety of methods and metrics.",Chinook salmon - Washington Coast: Queets Fall,Chinook salmon , Washington Coast: Queets Fall,2023,2,Primary
California Current,Other Method,"Abundance is assessed at the stock level as mature fish in freshwater by State, Tribal, and Federal agencies (co-managers), using a variety of methods and metrics.",Chinook salmon - Washington Coast: Queets Spring/Summer,Chinook salmon , Washington Coast: Queets Spring/Summer,2023,2,Primary
California Current,Other Method,"Abundance is assessed at the stock level as mature fish in freshwater by State, Tribal, and Federal agencies (co-managers), using a variety of methods and metrics.",Chinook salmon - Washington Coast: Quillayute Fall,Chinook salmon , Washington Coast: Quillayute Fall,2023,2,Primary
California Current,Other Method,"Abundance is assessed at the stock level as mature fish in freshwater by State, Tribal, and Federal agencies (co-managers), using a variety of methods and metrics.",Chinook salmon - Washington Coast: Quillayute Spring/Summer,Chinook salmon , Washington Coast: Quillayute Spring/Summer,2023,2,Primary
California Current,Other Method,"Abundance is assessed at the stock level as mature fish in freshwater by State, Tribal, and Federal agencies (co-managers), using a variety of methods and metrics.",Chinook salmon - Washington Coast: Quinault Fall Hatchery,Chinook salmon , Washington Coast: Quinault Fall Hatchery,2023,2,Primary
California Current,Other Method,"Abundance is assessed at the stock level as mature fish in freshwater by State, Tribal, and Federal agencies (co-managers), using a variety of methods and metrics.",Chinook salmon - Washington Coast: Willapa Bay Fall Hatchery,Chinook salmon , Washington Coast: Willapa Bay Fall Hatchery,2023,2,Primary
California Current,Other Method,"Abundance is assessed at the stock level as mature fish in freshwater by State, Tribal, and Federal agencies (co-managers), using a variety of methods and metrics.",Chinook salmon - Washington Coast: Willapa Bay Fall Natural,Chinook salmon , Washington Coast: Willapa Bay Fall Natural,2023,2,Primary
Northeast Shelf,FINSS Survey,Bottom Trawl Survey_Fall,Clearnose skate - Southern New England / Mid-Atlantic | Asmt & Status,Clearnose skate , Southern New England / Mid-Atlantic,2022,8,Primary
Gulf of Mexico,Recreational CPUE,Recreational CPUE,Cobia - Gulf of Mexico,Cobia , Gulf of Mexico,2020,6,Primary
Southeast Shelf,Recreational CPUE,Recreational CPUE,Cobia - Southern Atlantic Coast,Cobia , Southern Atlantic Coast,2020,2,Primary
Alaska Ecosystem Complex,Commercial CPUE,Commercial CPUE,Coho salmon - Auke Creek,Coho salmon , Auke Creek,2021,7,Primary
Alaska Ecosystem Complex,Other Method,ADFG sampling/counting adult escapement at counting weirs,Coho salmon - Auke Creek,Coho salmon , Auke Creek,2021,7,Primary
Alaska Ecosystem Complex,Other Method,ADGF coded wire tagging,Coho salmon - Auke Creek,Coho salmon , Auke Creek,2021,7,Primary
Alaska Ecosystem Complex,Recreational CPUE,Recreational CPUE,Coho salmon - Auke Creek,Coho salmon , Auke Creek,2021,7,Primary
Alaska Ecosystem Complex,Commercial CPUE,Commercial CPUE,Coho salmon - Berners River,Coho salmon , Berners River,2021,7,Primary
Alaska Ecosystem Complex,Other Method,ADFG sampling/counting adult escapement at counting weirs,Coho salmon - Berners River,Coho salmon , Berners River,2021,7,Primary
Alaska Ecosystem Complex,Other Method,ADGF coded wire tagging,Coho salmon - Berners River,Coho salmon , Berners River,2021,7,Primary
Alaska Ecosystem Complex,Recreational CPUE,Recreational CPUE,Coho salmon - Berners River,Coho salmon , Berners River,2021,7,Primary
Alaska Ecosystem Complex,Commercial CPUE,Commercial CPUE,Coho salmon - Ford Arm Lake,Coho salmon , Ford Arm Lake,2016,8,Primary
Alaska Ecosystem Complex,Other Method,ADFG coded wire tagging,Coho salmon - Ford Arm Lake,Coho salmon , Ford Arm Lake,2016,8,Primary
Alaska Ecosystem Complex,Other Method,ADFG sampling/counting adult escapement at adult counting weirs,Coho salmon - Ford Arm Lake,Coho salmon , Ford Arm Lake,2016,8,Primary
Alaska Ecosystem Complex,Recreational CPUE,Recreational CPUE,Coho salmon - Ford Arm Lake,Coho salmon , Ford Arm Lake,2016,8,Primary
Alaska Ecosystem Complex,Commercial CPUE,Commercial CPUE,Coho salmon - Hugh Smith Lake,Coho salmon , Hugh Smith Lake,2021,7,Primary
Alaska Ecosystem Complex,Other Method,ADFG coded wire tagging,Coho salmon - Hugh Smith Lake,Coho salmon , Hugh Smith Lake,2021,7,Primary
Alaska Ecosystem Complex,Other Method,ADFG sampling/counting adult escapement at counting weirs,Coho salmon - Hugh Smith Lake,Coho salmon , Hugh Smith Lake,2021,7,Primary
Alaska Ecosystem Complex,Recreational CPUE,Recreational CPUE,Coho salmon - Hugh Smith Lake,Coho salmon , Hugh Smith Lake,2021,7,Primary
California Current,Other Method,"Abundance is assessed at the stock level as mature fish in freshwater by State, Tribal, and Federal agencies (co-managers), using a variety of methods and metrics.",Coho salmon - Oregon Production Index Area: Central California Coast,Coho salmon , Oregon Production Index Area: Central California Coast,2023,2,Primary
California Current,Other Method,"Abundance is assessed at the stock level as mature fish in freshwater by State, Tribal, and Federal agencies (co-managers), using a variety of methods and metrics.",Coho salmon - Oregon Production Index Area: Columbia River Early Hatchery,Coho salmon , Oregon Production Index Area: Columbia River Early Hatchery,2023,2,Primary
California Current,Other Method,"Abundance is assessed at the stock level as mature fish in freshwater by State, Tribal, and Federal agencies (co-managers), using a variety of methods and metrics.",Coho salmon - Oregon Production Index Area: Columbia River Late Hatchery,Coho salmon , Oregon Production Index Area: Columbia River Late Hatchery,2023,2,Primary
California Current,Other Method,"Abundance is assessed at the stock level as mature fish in freshwater by State, Tribal, and Federal agencies (co-managers), using a variety of methods and metrics.",Coho salmon - Oregon Production Index Area: Lower Columbia Natural,Coho salmon , Oregon Production Index Area: Lower Columbia Natural,2023,2,Primary
California Current,Other Method,"Abundance is assessed at the stock level as mature fish in freshwater by State, Tribal, and Federal agencies (co-managers), using a variety of methods and metrics.",Coho salmon - Oregon Production Index Area: Oregon Coast Hatchery,Coho salmon , Oregon Production Index Area: Oregon Coast Hatchery,2023,2,Primary
California Current,Other Method,"Abundance is assessed at the stock level as mature fish in freshwater by State, Tribal, and Federal agencies (co-managers), using a variety of methods and metrics.",Coho salmon - Oregon Production Index Area: Oregon Coast Natural,Coho salmon , Oregon Production Index Area: Oregon Coast Natural,2023,2,Primary
California Current,Other Method,"Abundance is assessed at the stock level as mature fish in freshwater by State, Tribal, and Federal agencies (co-managers), using a variety of methods and metrics.",Coho salmon - Oregon Production Index Area: Southern Oregon/Northern California Coast,Coho salmon , Oregon Production Index Area: Southern Oregon/Northern California Coast,2023,2,Primary
California Current,Other Method,"Abundance is assessed at the stock level as mature fish in freshwater by State, Tribal, and Federal agencies (co-managers), using a variety of methods and metrics.",Coho salmon - Puget Sound: Eastern Strait of Juan de Fuca,Coho salmon , Puget Sound: Eastern Strait of Juan de Fuca,2011,2,Primary
California Current,Other Method,"Abundance is assessed at the stock level as mature fish in freshwater by State, Tribal, and Federal agencies (co-managers), using a variety of methods and metrics.",Coho salmon - Puget Sound: Hood Canal,Coho salmon , Puget Sound: Hood Canal,2023,2,Primary
California Current,Other Method,"Abundance is assessed at the stock level as mature fish in freshwater by State, Tribal, and Federal agencies (co-managers), using a variety of methods and metrics.",Coho salmon - Puget Sound: Skagit,Coho salmon , Puget Sound: Skagit,2023,2,Primary
California Current,Other Method,"Abundance is assessed at the stock level as mature fish in freshwater by State, Tribal, and Federal agencies (co-managers), using a variety of methods and metrics.",Coho salmon - Puget Sound: Snohomish,Coho salmon , Puget Sound: Snohomish,2023,2,Primary
California Current,Other Method,"Abundance is assessed at the stock level as mature fish in freshwater by State, Tribal, and Federal agencies (co-managers), using a variety of methods and metrics.",Coho salmon - Puget Sound: South Puget Sound Hatchery,Coho salmon , Puget Sound: South Puget Sound Hatchery,2023,2,Primary
California Current,Other Method,"Abundance is assessed at the stock level as mature fish in freshwater by State, Tribal, and Federal agencies (co-managers), using a variety of methods and metrics.",Coho salmon - Puget Sound: Stillaguamish,Coho salmon , Puget Sound: Stillaguamish,2023,2,Primary
California Current,Other Method,"Abundance is assessed at the stock level as mature fish in freshwater by State, Tribal, and Federal agencies (co-managers), using a variety of methods and metrics.",Coho salmon - Washington Coast: Grays Harbor,Coho salmon , Washington Coast: Grays Harbor,2023,2,Primary
California Current,Other Method,"Abundance is assessed at the stock level as mature fish in freshwater by State, Tribal, and Federal agencies (co-managers), using a variety of methods and metrics.",Coho salmon - Washington Coast: Hoh,Coho salmon , Washington Coast: Hoh,2023,2,Primary
California Current,Other Method,"Abundance is assessed at the stock level as mature fish in freshwater by State, Tribal, and Federal agencies (co-managers), using a variety of methods and metrics.",Coho salmon - Washington Coast: Queets,Coho salmon , Washington Coast: Queets,2023,2,Primary
California Current,Other Method,"Abundance is assessed at the stock level as mature fish in freshwater by State, Tribal, and Federal agencies (co-managers), using a variety of methods and metrics.",Coho salmon - Washington Coast: Quillayute Fall,Coho salmon , Washington Coast: Quillayute Fall,2023,2,Primary
California Current,Other Method,"Abundance is assessed at the stock level as mature fish in freshwater by State, Tribal, and Federal agencies (co-managers), using a variety of methods and metrics.",Coho salmon - Washington Coast: Quillayute Summer Hatchery,Coho salmon , Washington Coast: Quillayute Summer Hatchery,2023,2,Primary
California Current,Other Method,"Abundance is assessed at the stock level as mature fish in freshwater by State, Tribal, and Federal agencies (co-managers), using a variety of methods and metrics.",Coho salmon - Washington Coast: Quinault Hatchery,Coho salmon , Washington Coast: Quinault Hatchery,2023,2,Primary
California Current,Other Method,"Abundance is assessed at the stock level as mature fish in freshwater by State, Tribal, and Federal agencies (co-managers), using a variety of methods and metrics.",Coho salmon - Washington Coast: Strait of Juan de Fuca,Coho salmon , Washington Coast: Strait of Juan de Fuca,2023,2,Primary
